serie_id,serie,indicador,unidade,periodicidade,data_referencia,ano,mes,valor
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-03-28,2016,3,3.6408
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-03-29,2016,3,3.6687
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-03-30,2016,3,3.6116
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-03-31,2016,3,3.5589
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-01,2016,4,3.5799
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-04,2016,4,3.5871
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-05,2016,4,3.6581
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-06,2016,4,3.6749
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-07,2016,4,3.6921
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-08,2016,4,3.6385
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-11,2016,4,3.5284
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-12,2016,4,3.5406
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-13,2016,4,3.5429
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-14,2016,4,3.5126
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-15,2016,4,3.5276
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-18,2016,4,3.5904
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-19,2016,4,3.5538
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-20,2016,4,3.5503
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-22,2016,4,3.5829
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-25,2016,4,3.5472
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-26,2016,4,3.5301
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-27,2016,4,3.5295
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-28,2016,4,3.4992
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-04-29,2016,4,3.4508
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-02,2016,5,3.4991
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-03,2016,5,3.555
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-04,2016,5,3.5397
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-05,2016,5,3.5296
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-06,2016,5,3.5362
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-09,2016,5,3.5387
1,dolar_venda,Taxa de câmbio - dólar americano (venda),R$/US$,diaria,2016-05-10,2016,5,3.4772
