data_referencia,ano,trimestre_num,trimestre,uf_id,taxa_desocupacao_pct,taxa_subutilizacao_pct
2016-10-01,2016,4,4º trimestre,23,12.6,30.6
2025-10-01,2025,4,4º trimestre,43,3.7,7.9
2013-04-01,2013,2,2º trimestre,43,4.6,11.9
2018-07-01,2018,3,3º trimestre,29,16.4,38.9
2015-04-01,2015,2,2º trimestre,31,8.0,18.4
2023-10-01,2023,4,4º trimestre,24,8.5,23.1
2024-04-01,2024,2,2º trimestre,51,3.3,8.2
2020-04-01,2020,2,2º trimestre,24,15.2,40.6
2015-04-01,2015,2,2º trimestre,51,6.3,10.6
2019-01-01,2019,1,1º trimestre,31,11.3,24.5
2020-07-01,2020,3,3º trimestre,27,20.5,49.8
2015-01-01,2015,1,1º trimestre,51,5.8,10.9
2022-07-01,2022,3,3º trimestre,16,10.8,20.6
2014-10-01,2014,4,4º trimestre,27,9.5,22.6
2019-07-01,2019,3,3º trimestre,52,11.1,18.1
2021-07-01,2021,3,3º trimestre,51,6.7,12.9
2023-01-01,2023,1,1º trimestre,53,12.0,20.4
2022-01-01,2022,1,1º trimestre,26,17.1,33.0
2019-04-01,2019,2,2º trimestre,14,15.1,31.5
2020-04-01,2020,2,2º trimestre,41,9.6,19.2
2025-04-01,2025,2,2º trimestre,33,8.1,14.2
2015-10-01,2015,4,4º trimestre,17,9.0,19.9
2024-01-01,2024,1,1º trimestre,33,10.3,16.9
