data_referencia,ano,trimestre_num,trimestre,uf_id,taxa_desocupacao_pct,taxa_subutilizacao_pct
2016-01-01,2016,1,1º trimestre,52,10.2,14.5
2020-07-01,2020,3,3º trimestre,31,13.6,28.5
2023-04-01,2023,2,2º trimestre,21,8.9,28.1
2016-10-01,2016,4,4º trimestre,52,11.4,17.3
2020-04-01,2020,2,2º trimestre,26,15.4,36.6
2014-07-01,2014,3,3º trimestre,13,6.8,13.4
2020-04-01,2020,2,2º trimestre,51,10.3,19.8
2014-04-01,2014,2,2º trimestre,35,7.1,11.3
2025-10-01,2025,4,4º trimestre,35,4.7,10.8
2013-07-01,2013,3,3º trimestre,43,4.9,12.5
2019-07-01,2019,3,3º trimestre,11,8.3,17.6
2025-10-01,2025,4,4º trimestre,32,2.4,5.9
2023-07-01,2023,3,3º trimestre,15,8.0,24.6
2013-07-01,2013,3,3º trimestre,29,10.7,28.8
2025-07-01,2025,3,3º trimestre,24,7.5,18.8
2015-01-01,2015,1,1º trimestre,26,8.2,17.5
2017-07-01,2017,3,3º trimestre,26,18.1,31.9
2020-01-01,2020,1,1º trimestre,14,16.7,30.9
2024-04-01,2024,2,2º trimestre,13,8.0,15.6
2020-10-01,2020,4,4º trimestre,25,15.7,39.7
2021-01-01,2021,1,1º trimestre,52,14.0,22.5
2021-10-01,2021,4,4º trimestre,15,10.9,28.8
2024-01-01,2024,1,1º trimestre,35,7.4,14.4
2018-07-01,2018,3,3º trimestre,26,17.0,33.2
2017-01-01,2017,1,1º trimestre,51,10.6,15.5
2012-10-01,2012,4,4º trimestre,50,5.0,14.3
2023-04-01,2023,2,2º trimestre,52,6.2,11.3
2015-04-01,2015,2,2º trimestre,12,8.9,17.6
2022-01-01,2022,1,1º trimestre,32,9.3,18.3
2022-10-01,2022,4,4º trimestre,41,5.2,11.5
2024-01-01,2024,1,1º trimestre,15,8.5,26.1
2013-04-01,2013,2,2º trimestre,27,10.8,23.2
2019-10-01,2019,4,4º trimestre,51,6.5,12.9
2013-01-01,2013,1,1º trimestre,17,9.3,23.3
2020-10-01,2020,4,4º trimestre,27,20.7,46.6
2025-01-01,2025,1,1º trimestre,31,5.7,13.0
2021-07-01,2021,3,3º trimestre,11,7.7,16.9
2023-07-01,2023,3,3º trimestre,41,4.6,10.1
2015-01-01,2015,1,1º trimestre,11,4.5,10.5
2025-07-01,2025,3,3º trimestre,12,7.4,18.4
2024-10-01,2024,4,4º trimestre,23,6.5,21.4
2017-01-01,2017,1,1º trimestre,28,16.3,34.9
2013-07-01,2013,3,3º trimestre,32,7.2,11.5
2018-07-01,2018,3,3º trimestre,35,13.3,21.0
2021-10-01,2021,4,4º trimestre,24,12.8,32.3
2023-04-01,2023,2,2º trimestre,29,13.3,31.2
2016-04-01,2016,2,2º trimestre,29,15.6,33.4
2018-10-01,2018,4,4º trimestre,21,14.4,38.6
2018-10-01,2018,4,4º trimestre,12,13.3,30.0
2012-07-01,2012,3,3º trimestre,13,9.5,18.5
2013-04-01,2013,2,2º trimestre,26,9.7,20.5
2012-04-01,2012,2,2º trimestre,50,7.1,18.3
2024-04-01,2024,2,2º trimestre,31,5.3,12.7
2012-10-01,2012,4,4º trimestre,14,8.4,21.2
2016-04-01,2016,2,2º trimestre,11,7.9,16.3
2016-01-01,2016,1,1º trimestre,13,13.0,21.1
2013-01-01,2013,1,1º trimestre,28,11.6,30.9
2024-01-01,2024,1,1º trimestre,52,6.1,12.6
2015-07-01,2015,3,3º trimestre,43,7.0,14.8
2022-07-01,2022,3,3º trimestre,23,8.6,27.7
2016-07-01,2016,3,3º trimestre,21,12.1,32.2
